avg_goldEarned	avg_kills	avg_deaths	avg_assists	avg_totalDamageTaken	avg_totalMinionsKilled	avg_visionScore	avg_visionWardsBoughtInGame	avg_gameDuration	var_goldEarned	var_kills	var_deaths	var_assists	var_totalDamageTaken	var_totalMinionsKilled	var_visionScore	var_visionWardsBoughtInGame	var_gameDuration	won	weight	solo_q_tier	solo_q_division	flex_tier	flex_division
12553.5142857	6.08571428572	6.78571428571	8.47142857143	19786.4714286	176.885714286	1.48571428571	0.885714285714	1937.78571429	10073786.4795	12.3706833643	5.42575757576	23.4219542363	44421347.2536	2187.63388683	9.67142857143	0.408042671614	170126.30756	4.55714285714	9.8	SILVER	IV	BRONZE	I
11060.7042254	6.21126760563	5.60563380282	7.30985915493	19578.0422535	141.633802817	5.54929577465	0.394366197183	1751.54929577	18375836.6824	13.227665996	8.50610328638	21.9214062151	93235060.0933	3478.03243908	70.4861502348	0.372501676727	374302.549028	2.91549295775	5.7323943662	GOLD	V	SILVER	V
11392.7142857	7.27619047619	5.94285714286	7.84761904762	18195.1238095	146.961904762	4.05714285714	1.11428571429	1788.71428572	20553834.3073	20.1091626794	10.6069837473	23.7481396673	71195429.0467	3576.45775348	66.8206789702	0.582147793727	377025.546922	4.92380952381	9.51428571429	GOLD	III		
11217.38	5.7	8.12	8.2	21911.46	128.4	8.16	0.32	1892.44	16380697.8753	18.5487380952	9.2709047619	31.1274047619	67462727.1478	2672.16845238	184.540666667	0.218738095238	352375.677952	2.5	5.4	SILVER	V	BRONZE	II
11773.6344086	6.15053763441	5.50537634409	6.77419354839	17378.7311828	189.935483871	7.41935483871	0.763440860215	1743.02150538	13648910.6818	19.0331419371	6.75979721312	14.9224299104	53573634.8136	2554.10709275	131.716760311	0.792769248461	186438.37018	5.87096774194	12.0107526882	SILVER	V	BRONZE	III
11673.4034091	7.49431818182	5.23863636364	7.51704545455	16465.4375	154.903409091	6.19886363636	0.0397727272727	1802.85795455	18030350.5823	21.2031744651	8.15691357467	20.941698271	54184037.7943	3073.49173828	48.0320994727	0.0598452457168	325125.862079	22.9659090909	48.7613636364	PLATINUM	I	DIAMOND	V
11172.137931	4.34482758621	4.20689655172	11.8965517241	15555.1896552	97.1551724138	7.10344827588	4.31034482759	1830.86206897	7443145.60035	6.26790450927	4.68689213086	30.6289787798	25053349.3137	1539.7515473	509.452254642	2.78603006189	150482.859085	10.2586206897	15.4827586207	SILVER	II	SILVER	IV
13309.1438356	5.97945205479	6.47945205479	8.41780821918	20701.6027397	203.815068493	0.780821917808	0.102739726027	1961.89041096	15591084.9568	16.1603065884	10.7502650032	21.7910347358	80375955.2284	3813.77672683	22.4058219178	0.0996231064724	252565.210863	23.5753424658	41.6164383562	BRONZE	II	BRONZE	III
11904.8855932	6.3686440678	5.67372881356	7.40677966102	18803.1271187	174.322033899	10.843220339	2.02542372881	1793.79237288	12955932.6014	12.8757214983	7.56879804887	18.9366399631	58946737.8545	3001.17288598	165.324135879	2.35369382956	227585.875904	18.9661016949	31.6694915254	PLATINUM	III	PLATINUM	IV
13196.5283019	9.26415094341	6.77358490566	6.28301886792	19200.3584906	194.849056604	0.0	0.264150943396	1880.11320754	18624133.9591	21.7704402516	10.076819407	15.0831087152	73738073.2853	4059.55121293	0.0	0.216531895777	348430.821653	16.1509433962	34.358490566	PLATINUM	V	GOLD	V
10678.7166666	5.33333333333	5.43333333333	7.15	16837.0333333	156.016666667	7.98333333333	0.466666666667	1736.7	22966013.3574	15.2218826313	9.63005723443	31.3213881258	84174336.6124	5670.43241987	80.8393185287	0.548292887668	464285.138604	6.73333333333	15.0	PLATINUM	V	GOLD	III
11585.868217	5.36821705427	5.00387596899	7.79069767442	20708.875969	165.248062016	8.60077519381	2.73643410853	1805.44186046	17429403.0684	16.177175481	7.56523877829	24.6988627985	87228066.6978	4147.0788687	195.307847084	2.41094863532	275983.162876	22.8178294574	49.6511627907	SILVER	V	BRONZE	III
10456.655914	3.79569892473	7.90322580645	9.24731182796	19644.3655914	83.0	0.580645161291	0.774193548388	1889.4516129	15857285.3254	7.62283666156	12.1071172555	38.521599249	95215595.2092	1695.24513569	8.00047789725	0.647380098993	391976.19424	14.5268817204	26.7849462366	SILVER	III	SILVER	IV
11101.5080645	6.77419354839	5.34677419355	6.84677419355	17890.4919355	152.887096774	2.79032258064	0.387096774193	1782.49193548	17903408.5774	24.3643140987	8.52059484851	21.7640839622	80761471.5048	3569.01057236	57.4861194595	0.277117979029	351506.294018	7.06451612903	13.0806451613	SILVER	IV	BRONZE	II
11233.4848485	6.26262626263	6.31313131313	9.48484848485	18628.8989899	110.737373737	0.959595959596	1.09090909091	1837.7979798	14698818.9068	12.9562578835	9.41534887671	27.454690007	57870221.777	1973.49581849	19.7105024605	0.990230392504	316528.825628	6.0	9.78787878788	SILVER	V	GOLD	V
12288.4196429	4.79464285714	5.14285714286	7.64285714286	20452.1785714	187.0625	6.95535714286	1.41964285714	1975.72321428	15291368.8986	9.5712594697	5.02102272727	19.0694940476	65514530.0519	4404.36326434	205.614035444	1.79226190476	239423.726698	6.53571428571	16.4642857143	BRONZE	II		
