avg_goldEarned	avg_kills	avg_deaths	avg_assists	avg_totalDamageTaken	avg_totalMinionsKilled	avg_visionScore	avg_visionWardsBoughtInGame	avg_gameDuration	var_goldEarned	var_kills	var_deaths	var_assists	var_totalDamageTaken	var_totalMinionsKilled	var_visionScore	var_visionWardsBoughtInGame	var_gameDuration	won	weight
11519.704918	6.65573770492	6.22950819672	5.2131147541	17860.2459016	151.032786885	1.19672131148	0.508196721311	1855.90163934	24626348.5472	27.0093481655	9.16074551132	11.3991686183	68581591.9155	4540.66310304	29.6325995316	0.493676814988	394171.525714	5.11475409836	13.7213114754	
11589.036036	5.89189189189	5.43243243243	7.6936936937	17440.4234234	164.900900901	4.30630630631	0.954954954955	1753.07207207	13229025.7314	10.8628320628	7.45395531278	17.3848359672	39365732.4635	2649.89153316	64.3125213449	0.721954307248	222296.000293	5.97297297297	10.8918918919	
11911.117647	5.87058823529	7.22352941176	7.28235294118	19186.1058824	177.905882353	2.29411764706	0.0	1798.29411764	22299022.9266	20.4407760287	9.94278376137	20.1813504557	75464482.1454	5050.22547639	23.2025407346	0.0	341051.430287	29.4823529412	59.9411764706	
11423.0882353	5.89411764706	4.58823529412	8.44117647059	15893.5941177	159.241176471	4.79411764706	0.035294117647	1795.52941176	16821318.3571	18.4402997166	7.41800847845	23.0025637598	56453554.6689	2942.91440628	103.507206911	0.0333204214087	298986.316028	21.7352941176	40.6705882353	
12489.5240964	8.75602409638	6.80421686747	6.65963855422	21599.4036144	170.692771084	0.891566265061	0.192771084337	1811.48493976	21893921.1458	33.60799366	11.3374604023	18.5326810028	91449583.7542	3952.64445134	11.6817603347	0.182432658941	297376.987101	26.265060241	47.7891566265	
13365.81875	7.19583333333	4.75625	8.31666666667	17306.5208333	204.59375	4.04375	1.15208333333	1943.725	21050079.5785	19.8225621579	6.44775608306	20.9189446815	50578027.0433	4854.20087854	105.729620361	0.711276916578	297327.38516	48.6979166667	93.0708333333	
12029.2393162	6.63247863248	6.41025641026	8.26495726496	19114.1965812	170.051282051	2.77777777778	0.25641025641	1890.35042735	18559688.2803	16.8231768232	11.6101074851	19.0686443187	74348933.3659	4101.93525919	94.5713268214	0.160677285677	325596.008031	5.77777777778	13.188034188	
13794.7037037	9.55555555555	8.37037037037	6.92592592593	23952.4259259	172.537037037	0.370370370372	0.314814814815	1848.2037037	23965651.3621	42.714799253	11.4746342982	14.9458190684	93446157.1188	4204.38321403	6.97167755991	0.275811806204	209569.971589	5.11111111111	9.03703703704	
12755.1923077	8.91346153846	8.5673076923	6.55769230769	24283.9038461	167.134615384	0.0	0.182692307692	1890.49038461	25676952.0663	39.4710679945	16.1164394123	17.7067146089	123393260.216	4319.68384373	0.0	0.483486856281	345448.300458	15.7403846154	33.0576923077	
12799.0615385	6.66153846154	5.21538461538	6.92307692308	19107.3384615	197.307692308	1.81538461538	0.169230769231	1872.32307692	15487880.0315	16.9658119658	7.96987179487	13.7278205128	58477284.9527	3262.65901709	32.4001709402	0.111709401709	230794.070556	4.93846153846	9.03076923077	
14527.5686275	8.35294117648	4.74509803921	8.92156862744	19460.2352941	213.803921569	1.33333333333	0.862745098039	1972.56862745	13561831.8394	12.9162507427	6.9125519905	12.4864824718	66935326.9927	3451.86100713	42.511942959	0.572266785502	248157.035517	4.03921568627	6.21568627451	
11526.5125	7.05	6.2125	6.8875	18265.1375	157.5875	1.55	0.0875	1752.1	19386205.2786	23.0036742424	11.0761837121	13.9453598485	70246359.5391	3914.90106692	11.2057765152	0.0526136363636	317710.511673	5.025	10.0	
12561.0658915	7.00775193799	5.54651162791	6.9496124031	18387.1356589	196.23255814	0.631782945737	0.0232558139536	1836.36821705	18968622.596	19.8443792391	9.48348160943	19.5841907968	70879221.07	4506.46338851	8.37403159736	0.0211729467214	287475.007894	27.984496124	48.2945736434	
12467.631783	7.48449612403	4.93798449612	7.55426356589	17173.3565891	180.437984496	3.74806201551	0.0271317829457	1850.34108527	18807687.3044	24.7912758464	7.84770799885	17.7406047933	61485195.1065	3857.88704092	30.4177361568	0.0208010335917	292087.932805	12.7906976744	25.4418604651	
12462.8823529	6.61176470588	5.51764705882	7.69411764706	20191.5647059	193.635294118	7.52941176472	0.329411764706	1823.91764706	17677976.6551	19.5763753868	8.26587393127	24.4259716959	99346333.9251	3711.75174201	138.03272734	0.479835594369	252168.237694	9.01176470588	16.3647058824	
12631.4444444	7.46031746032	6.2380952381	9.50793650793	24154.7460317	154.793650794	11.4603174603	0.936507936507	1968.09523809	13099526.4072	20.8410866911	7.6675688509	18.7047890381	77033579.1938	2984.85818071	136.318260752	0.487450820784	226436.353358	12.126984127	18.5238095238	
10897.2619048	5.63095238095	6.42857142857	6.61904761905	17037.9047619	147.535714286	3.7619047619	0.678571428572	1804.65476191	19257448.7916	15.8843653701	12.2474388046	22.0026862027	66008388.5489	3846.92867609	78.103290889	0.531932089075	362643.986511	10.6904761905	25.3095238095	
13386.6726191	9.61309523811	7.86904761905	6.86309523809	24359.0178572	185.428571429	0.619047619048	0.279761904762	1799.71428571	26032397.9669	35.2887202586	10.1136454944	16.7031993534	126456499.523	4516.34124776	9.45477484472	0.384485811233	298454.765407	9.33333333333	18.7261904762	
12597.2917772	6.64190981432	5.72148541114	7.18302387268	20448.4774536	186.24403183	9.83554376657	0.0397877984085	1870.62068966	15383425.7902	18.5873993301	8.17818971137	16.6326374287	64258468.3867	2796.38420792	135.059495328	0.0399759534009	216047.983017	23.5119363395	46.3103448276	
12217.1034483	6.60344827586	6.53448275862	7.63793103448	19599.2586207	159.551724138	0.844827586207	0.137931034483	1873.15517241	19994747.7065	20.5773436334	14.3135505299	17.2705702344	83896323.6671	2752.76022541	3.96091954024	0.0839826839828	334403.690879	4.22413793103	8.58620689655	
13045.0724638	7.40579710145	4.94202898551	6.50724637681	18780.6521739	211.420289855	4.55072463768	0.0579710144927	1885.55072464	16616374.7115	20.5716011042	5.34506556246	11.9625603865	42213534.8896	3525.27967564	54.9516908214	0.0783298826777	240258.534507	4.57971014493	11.347826087	
