avg_goldEarned	avg_kills	avg_deaths	avg_assists	avg_totalDamageTaken	avg_totalMinionsKilled	avg_visionScore	avg_visionWardsBoughtInGame	avg_gameDuration	var_goldEarned	var_kills	var_deaths	var_assists	var_totalDamageTaken	var_totalMinionsKilled	var_visionScore	var_visionWardsBoughtInGame	var_gameDuration	won	weight
12642.6202532	5.6835443038	3.81012658227	7.56962025316	33150.2531646	204.898734177	4.41772151899	0.139240506329	1886.81012658	17058178.0234	9.78284591881	6.17619671177	25.2681143605	216046511.988	6791.57718609	61.8383893496	0.0603084533683	344547.453841	24.9113924051	43.6329113924	
11118.2714286	4.5	4.81428571428	10.9714285714	26488.9571429	123.685714286	0.171428571429	0.342857142857	1895.0	12401960.4352	9.950148423	4.37617810761	37.3609894867	107025356.059	2790.36640074	1.87012987013	0.195844155844	261150.590254	4.94285714286	9.8	
10395.13	2.88	5.39	10.8	26535.66	111.96	0.370000000001	1.33	1859.64	13882074.3385	4.86485137085	9.44319336219	38.9877085137	172072768.264	5013.01556566	12.9294444444	1.33182106782	298738.33874	18.26	35.32	
10860.7157895	3.67368421053	5.66315789474	11.1368421053	32879.1052632	118.12631579	5.08421052632	0.800000000001	1904.09473684	10735245.5313	5.23649122808	7.60080642784	32.016657821	210860751.341	2524.2170603	78.3840778417	0.49332448769	289768.458881	9.02105263158	16.3263157895	
9804.93859649	3.17543859649	5.61403508772	9.43859649123	24437.5350877	47.9385964912	10.5175438596	1.89473684211	1814.4122807	14921113.6135	6.71636599515	9.47863362423	40.1514808527	145553638.477	2012.04615233	209.330753549	1.01430382219	363073.177848	18.2807017544	39.9122807018	
9470.38297872	1.70212765957	3.48936170213	12.9680851064	23565.0638298	51.6702127659	10.0957446808	5.07446808511	1870.34042553	7452392.98092	2.2577887538	5.48074974671	37.8300405269	120244172.856	614.366435537	298.724591565	3.85359675785	243641.551846	11.0744680851	19.170212766	
10734.2617801	5.15968586387	5.25392670157	12.5837696335	32277.578534	45.1361256545	3.51832460733	0.0890052356021	1878.27225131	11344608.8423	10.2672490723	7.48977677774	41.7660878382	182268966.879	546.260038329	45.8751715013	0.110705336345	296545.498944	116.620418848	197.57591623	
9988.56250001	2.0375	4.425	13.125	22609.31875	57.15625	2.2625	2.0875	1924.58125	15719686.5436	3.05478812854	7.14597746004	54.577267264	124813470.123	1687.63286193	139.336294643	1.95928186397	425302.55644	17.76875	37.7875	
10383.7014925	3.29850746269	4.41791044776	10.2985074627	27059.4029851	77.1343283582	1.80597014925	0.582089552239	1920.67164179	12933032.6225	6.1720032382	5.81242773907	37.0961540654	146537689.394	2456.72535774	49.6707638279	0.269220551178	283731.997546	4.64179104478	9.11940298507	
10872.5675676	5.08108108108	4.27927927928	10.9279279279	22143.6486486	89.4774774777	0.234234234234	0.0810810810811	1884.10810811	13776756.6601	9.19504001609	7.70511372617	34.3927065822	107327073.783	1609.12855619	5.98324640429	0.0585847809532	372886.211888	27.9369369369	44.8018018018	
11547.6282051	5.0641025641	5.84615384615	8.08974358975	27987.2051282	159.371794872	0.615384615385	0.74358974359	1864.44871795	13209389.4484	11.172039072	5.59993894994	22.1132173382	158377072.361	3543.83879731	6.41025641026	0.607722832723	270620.303724	7.85897435897	13.1794871795	
10641.0873787	4.68932038835	5.20388349514	8.85436893204	24587.9708738	139.776699029	2.11650485437	0.349514563107	1817.97087379	16257904.4937	10.4273336898	5.79901540611	29.9027542037	130470300.376	3260.20516427	17.5624844411	0.243750282889	369178.886762	12.4660194175	23.0970873786	
11836.0119048	5.16666666667	6.02380952381	11.2023809524	29396.7857143	143.976190476	4.0	0.642857142857	1972.20238095	13426232.8489	7.34231859411	8.75269274377	33.3284580499	148296628.281	3242.59435941	67.7386621316	0.398015873016	341355.797931	7.14285714286	11.380952381	
10468.5106383	3.84042553191	5.07446808511	9.90425531914	27935.7234043	116.70212766	0.0	0.86170212766	1812.35106383	11023493.152	5.86827713363	5.58698787904	37.0998414167	164587978.013	2509.26076703	0.0	0.681885796823	256013.611673	7.8085106383	13.9787234043	
10282.0980392	3.37254901961	7.62745098038	9.90196078431	28402.4901961	87.6078431373	8.60784313726	1.03921568628	1846.64705882	17506778.3092	5.17865501638	14.8246620782	30.0625046954	182191503.965	3640.85486266	87.7863652389	0.932438757996	426698.515005	9.33333333333	21.3921568627	
9094.72592593	1.64444444444	4.17777777778	14.3259259259	25538.8740741	42.762962963	0.0	1.28888888889	1891.01481482	11387672.5122	2.6388034188	6.60608736942	73.3532383666	196393009.46	299.76011396	0.0	0.682070275403	397254.332355	33.0592592593	58.2	
11260.1052631	5.01754385965	5.21052631579	10.9122807018	27732.1052631	133.666666667	0.0	0.736842105263	1861.14035088	16117918.7041	10.9830663616	5.60726544623	34.1415713196	132490930.781	3501.72778413	0.0	0.514721586575	356755.566304	7.50877192982	14.0526315789	
10357.4193549	4.43548387097	3.87096774194	9.64516129032	23274.1290322	118.064516129	4.0	0.5	1769.64516129	16423330.5339	12.440437788	6.09642857143	33.5587557604	102552421.955	3572.12315668	86.3460829493	0.55702764977	356735.270968	12.6129032258	22.6129032258	
10099.0388349	4.20388349515	5.60194174757	10.2233009709	26984.4951456	83.1165048543	3.81553398058	1.06796116505	1851.10679612	14669160.9906	9.50982123594	10.6245831407	36.1244444445	192739126.3	2004.32560795	50.1009785791	0.866589613191	396556.295657	6.61165048544	12.0485436893	
12055.8321678	4.15384615385	3.76923076923	8.83216783217	27731.0	190.804195804	1.67132867133	1.06293706294	1949.77622378	12289678.621	7.59549682344	4.76712472577	26.735336967	140236152.724	4215.24913658	33.903897573	1.64030862928	251374.256741	18.3356643357	34.2167832168	
9237.13636363	2.15909090909	4.71212121212	12.9545454545	24740.2196969	50.106060606	1.31818181818	2.97727272727	1780.68181818	14266486.2354	3.39402419101	9.43884369143	56.1856690883	177777743.48	629.639287787	75.0606060607	3.7237438009	451546.90615	23.2348484848	37.9545454545	
